date,spy,aapl,goog,msft,mkt-rf,smb,hml,rf
2012M05,-0.061935026,-0.010759851,-0.040470727,-0.085994255,-8.88,-0.53,0.06,0.01
2012M06,0.039779407,0.01079431,-0.001360975,0.04684723,4.85,-1.51,1.35,0
2012M07,0.011759938,0.044803178,0.087274224,-0.037300581,0.85,-1.62,-1.05,0
2012M08,0.024744184,0.089728207,0.079127279,0.051393793,2.78,-0.32,0.84,0.01
2012M09,0.025035112,0.002792108,0.096505012,-0.03499847,3.08,1.13,1.17,0.01
2012M10,-0.018365938,-0.113841135,-0.103521347,-0.041858693,-0.43,-0.76,2.26,0.01
2012M11,0.005643404,-0.012451672,0.026215097,-0.061460074,1.32,-1.2,0.16,0.01
2012M12,0.00889504,-0.095127533,0.01281897,0.003375122,2.3,1.19,3.55,0.01
2013M01,0.04992328,-0.155589052,0.066063208,0.027328239,5.46,0.17,2.01,0
2013M02,0.012677924,-0.025611313,0.058479351,0.02091485,0.09,0.35,-0.76,0
2013M03,0.037268049,0.002850683,-0.008787842,0.028720302,2.29,0.85,-2.02,0
2013M04,0.019030097,0.000271003,0.037539333,0.145777242,3.02,-1.13,0.9,0
2013M05,0.023335292,0.022171853,0.055032439,0.059941158,0.56,-0.66,0.97,0
2013M06,-0.013434519,-0.125895874,0.010447743,-0.010368708,-2.52,0.21,-0.06,0
2013M07,0.050386272,0.13210219,0.008347906,-0.081394637,5.58,0.17,0.35,0
2013M08,-0.030451523,0.080442697,-0.047107487,0.054854147,-1.83,1.22,-0.66,0
2013M09,0.031156019,-0.021723178,0.033680637,-0.00359916,5.52,2.22,-0.54,0
2013M10,0.04526669,0.092015235,0.16261375,0.062037518,3.71,-1.75,1.97,0
2013M11,0.029206838,0.067708048,0.027760293,0.081562678,1.82,-0.17,-0.26,0
2013M12,0.02559606,0.008862584,0.056080337,-0.019063327,2.18,-0.19,-0.19,0
2014M01,-0.03588418,-0.113949449,0.052373761,0.011428632,-3.29,2.93,-0.16,0
2014M02,0.044509994,0.055918315,0.028942761,0.019814889,5.06,-1.03,0.19,0
2014M03,0.008261529,0.01975604,-0.086376136,0.067617364,0.14,-0.5,2.79,0
2014M04,0.006927471,0.094761405,-0.055956201,-0.014498454,0.55,-2.81,1.18,0
2014M05,0.02294107,0.075765355,0.061185195,0.020307363,1.75,-1.06,-0.47,0
2014M06,0.020434721,0.027285917,0.027116542,0.018393807,2.01,2.18,-0.2,0
2014M07,-0.01352868,0.028326408,-0.006417509,0.034413299,-2.05,-1.08,0.27,0
2014M08,0.038705039,0.074651544,0,0.057484389,1.93,-0.53,-0.77,0
2014M09,-0.013892599,-0.017220863,0.010026575,0.020264555,-3.09,-2.72,-0.75,0
2014M10,0.023277886,0.069489466,-0.0321734,0.012646397,0.33,-0.35,-2.92,0
2014M11,0.027101431,0.100730737,-0.031340256,0.024438943,1.65,-2.19,-2.1,0
2014M12,-0.002540098,-0.074606533,-0.02889094,-0.028858392,-1.44,1.67,0.06,0
2015M01,-0.030077018,0.059611814,0.015307759,-0.139546824,-1.74,-0.05,-2.38,0
2015M02,0.054682015,0.096015921,0.043706411,0.089036267,5.91,-0.39,-0.33,0
2015M03,-0.015830526,-0.031874277,-0.018800243,-0.075529693,-1.17,1.42,-0.78,0
2015M04,0.009786206,0.005769543,-0.016902505,0.179201311,2.7,0.78,2.16,0
2015M05,0.01277393,0.04434156,-0.009780855,-0.030803834,0.5,1.22,-1.19,0
2015M06,-0.020520745,-0.037938307,-0.022041132,-0.059571664,-2.08,2.1,-0.63,0
2015M07,0.022337424,-0.033480858,0.183918112,0.056151522,1.13,-3.09,-3.35,0
